Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
2010,3,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,14.7,85.6,41.9,50.3,57.9,NaN
2010,5,10.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.8,0.0,0.0,24.1,12.4,16.8,47.5,43.4,4.8,48.3,52.1,32.0,14.5,0.0,0.0,0.0
2010,6,0.5,27.4,21.1,4.1,0.0,0.3,0.0,0.0,15.0,0.0,0.5,0.0,17.3,3.3,15.5,0.0,0.0,0.0,4.1,6.1,0.3,0.3,0.3,72.6,27.9,27.4,0.0,0.3,1.0,19.6,NaN
2010,7,0.0,14.7,0.0,3.3,1.0,19.6,57.9,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2010,8,NaN,NaN,NaN,0.0,17.2,2.4,2.6,15.2,1.5,25.4,4.6,1.0,0.6,0.1,1.1,2.5,2.0,0.0,0.2,45.5,1.6,2.3,10.5,7.9,2.1,9.4,7.8,4.4,5.8,2.9,9.9
2010,9,1.6,7.4,4.8,3.9,8.2,3.8,NaN,3.2,0.0,10.0,2.6,12.9,3.9,0.2,3.4,3.3,3.4,8.5,0.4,5.8,3.3,1.7,1.0,10.4,6.7,3.8,NaN,2.4,8.4,19.0,NaN
2010,10,1.0,0.0,0.3,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.8,0.0,4.6,0.8,0.0,0.0,0.0,22.6,1.0,15.7,4.3,1.5,10.9,5.1,0.5,0.3,0.0,0.0
2010,11,6.1,40.9,72.9,5.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.3,0.3,0.0,5.1,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,NaN
2010,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN
2011,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,NaN
2011,5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.5,0.0,0.0,15.0,0.0,0.0,9.4,35.8,15.5,0.5,0.0,0.0,0.0,31.5,0.3,1.0,33.8
2011,6,4.6,0.5,0.3,0.0,15.2,10.2,5.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.0,4.6,20.1,10.4,0.5,0.0,14.5,0.3,19.8,36.1,42.9,5.8,7.4,0.0,3.3,15.7,NaN
2011,7,12.9,8.1,0.0,0.0,0.0,0.0,30.2,0.3,0.0,11.4,15.0,2.0,61.7,7.6,13.5,18.5,6.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,6.4,33.8,35.1,1.8,2.0
2011,8,24.1,8.1,0.0,0.0,29.7,0.0,3.1,0.0,9.7,0.3,0.0,0.0,3.6,7.6,0.3,4.1,8.6,0.0,19.8,15.0,31.7,7.9,14.5,75.7,8.4,0.0,0.0,0.5,2.5,0.0,2.3
2011,9,0.0,5.6,0.0,18.5,0.0,0.3,0.0,11.2,0.0,1.0,5.9,16.0,0.0,0.0,47.0,5.8,23.6,0.5,0.0,7.6,0.0,0.0,0.0,1.5,27.7,8.9,0.3,3.1,26.9,0.3,NaN
2011,10,2.3,12.4,0.3,1.5,2.5,1.3,0.5,9.7,4.3,80.5,48.5,25.6,12.2,14.0,12.5,114.8,51.5,12.7,15.0,37.1,11.2,9.1,1.3,7.9,0.3,0.3,13.2,0.3,0.5,3.8,63.8
2011,11,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,0.5,10.7,6.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
2011,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
2012,3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,4.6,0.0,54.1,5.1,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN
2012,5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.1,0.0,0.0,0.0,0.0,0.0,29.5,9.2,0.3,1.0,0.0,7.1,15.0,2.8,0.0,0.5,28.7,0.3,28.5,0.0,2.8,8.1,22.6,2.5
2012,6,7.1,0.0,0.0,3.6,11.4,3.6,0.0,0.0,0.0,0.0,0.3,12.4,41.2,11.2,0.0,6.1,34.8,1.8,0.0,0.0,0.0,16.5,1.5,0.0,0.0,0.0,13.0,0.3,10.2,1.0,NaN
2012,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0
2012,8,0.0,0.0,0.0,0.0,0.0,0.0,4.3,2.5,31.2,13.2,2.3,0.0,0.0,0.5,23.9,0.0,1.5,0.0,0.0,0.8,14.7,0.0,0.0,0.0,19.5,2.5,22.1,0.0,33.0,21.1,1.8
2012,9,0.0,0.0,0.0,0.0,1.0,0.8,29.5,27.9,11.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.1,6.4,0.0,13.7,13.2,5.3,0.0,10.9,8.6,3.6,81.5,10.2,34.3,NaN
2012,10,2.3,0.5,0.0,0.0,1.5,0.0,0.0,39.1,1.5,0.5,0.0,0.0,0.0,14.0,0.5,7.4,1.8,5.6,1.5,0.5,1.0,3.3,8.4,23.6,47.7,13.2,2.5,0.0,0.0,0.0,0.0
2012,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1.0,0.0,NaN
2012,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
