Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,6.60,2.70,0.00,0.00,0.00,10.60,0.60,12.70,0.00,37.10,144.80,59.00,60.20,8.60,0.00,0.00,5.10,3.80,0.20,6.60,0.20,0.00,0.00,0.00,0.00,0.20,2.20,6.40,5.10,0.50,0.00
2010,2,0.50,0.00,4.00,0.90,0.00,1.00,11.70,0.50,0.00,8.50,1.60,0.00,0.20,22.00,0.00,0.00,10.70,78.60,20.80,1.90,0.60,0.00,0.00,0.00,161.30,27.40,0.10,50.70,NaN,NaN,NaN
2010,3,4.70,0.00,28.60,93.70,75.20,3.80,6.20,0.00,0.50,0.00,0.00,0.00,0.00,0.10,13.40,0.00,0.00,40.10,49.30,4.20,0.00,61.80,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,19.90
2010,4,1.50,3.00,0.10,0.00,0.00,0.00,9.00,3.50,7.80,11.60,53.50,11.90,1.90,0.70,0.00,3.90,0.00,0.00,0.00,0.00,2.40,0.10,1.20,0.60,18.30,0.00,0.30,8.80,1.60,0.00,NaN
2010,5,0.30,1.90,12.00,7.20,27.20,33.20,1.40,0.00,18.20,23.40,39.20,36.50,15.00,91.30,26.90,0.00,0.60,1.20,3.80,47.10,0.00,1.50,2.10,18.40,0.00,1.50,0.00,0.00,0.00,1.80,0.10
2010,6,1.40,0.30,0.00,0.40,2.40,12.20,0.00,0.00,0.00,17.10,0.70,3.00,9.70,0.00,0.00,0.10,40.10,0.40,2.30,0.10,2.10,0.00,0.10,0.00,2.30,33.10,2.00,0.00,0.00,2.00,NaN
2010,7,0.50,5.60,0.00,0.00,1.60,0.00,0.00,0.00,4.00,0.40,1.70,6.40,0.00,45.30,26.30,7.00,0.00,0.00,0.00,0.00,0.00,0.00,16.30,0.90,8.30,0.00,0.00,8.40,0.00,0.00,11.20
2010,8,0.90,0.00,4.40,0.10,8.90,2.20,9.10,0.20,12.20,0.00,1.00,0.00,18.00,0.00,0.00,9.20,2.50,0.10,1.80,0.00,2.40,0.00,0.30,0.00,2.50,4.80,54.60,2.50,0.10,0.00,3.10
2010,9,1.30,0.10,6.10,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.10,23.40,0.30,1.40,0.00,0.00,4.00,6.70,15.80,0.00,0.00,10.80,0.00,0.30,0.70,2.10,9.00,0.60,0.00,NaN
2010,10,0.00,4.80,0.70,0.10,3.00,1.50,0.60,0.30,0.10,0.00,0.00,0.00,0.00,18.40,42.60,9.00,23.20,0.30,0.00,0.00,0.00,2.90,0.00,0.10,4.50,0.00,0.00,3.30,4.20,0.00,0.70
2010,11,0.00,38.40,76.60,17.40,41.50,12.30,9.70,1.50,2.00,0.00,0.00,32.00,22.40,0.00,0.00,0.00,0.00,0.00,29.30,36.40,51.50,11.30,32.20,0.90,0.00,0.80,37.80,1.80,36.20,71.50,NaN
2010,12,217.80,13.30,0.00,0.00,0.00,30.10,34.80,0.00,29.80,2.80,1.60,0.00,66.70,9.00,0.00,1.90,0.60,0.00,6.40,24.70,2.00,0.90,0.00,17.90,4.00,25.50,36.00,20.60,9.40,34.60,5.50
2011,1,1.80,87.80,1.20,15.90,14.10,0.00,8.10,0.00,0.00,5.20,14.50,53.90,78.60,147.90,40.70,0.10,0.00,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,9.20,0.00,9.70
