Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,23.08,22.28,20.55,20.11,21.57,22.78,21.67,22.64,19.97,21.91,22.07,21.12,21.23,20.99,20.61,21.94,23.09,22.31,22.51,21.09,22.47,23.80,21.26,21.50,21.40,21.02,20.68,20.44,21.02,22.54,23.01
2010,2,23.11,23.72,23.01,22.14,21.33,22.31,23.17,22.04,21.50,23.08,22.57,19.71,22.14,21.77,21.50,22.08,22.81,22.37,22.20,22.77,23.07,22.35,23.24,24.06,24.09,22.33,21.97,23.72,NaN,NaN,NaN
2010,3,21.33,22.21,23.68,23.18,22.27,21.70,21.36,21.26,21.19,22.01,22.95,22.91,24.70,23.75,23.58,23.14,21.77,20.95,23.11,22.60,23.28,24.36,24.74,22.14,23.58,22.38,23.02,21.33,NaN,23.13,23.46
2010,4,22.64,23.80,24.04,22.09,22.50,23.30,23.17,23.33,23.97,22.81,23.58,22.98,23.11,23.52,23.55,22.38,22.31,22.75,23.41,23.75,23.31,23.62,25.07,23.68,25.27,24.40,25.71,25.61,24.40,24.16,NaN
2010,5,24.19,24.67,24.16,22.62,22.38,22.80,22.04,23.55,23.82,23.05,23.68,23.11,24.30,23.96,22.72,22.92,24.63,24.16,25.21,24.94,23.75,24.47,23.89,24.26,23.75,24.91,23.12,23.79,23.96,24.97,24.02
2010,6,24.13,23.99,24.50,23.32,24.26,24.06,22.42,22.99,22.72,23.34,23.19,22.72,22.62,23.72,23.35,23.48,22.52,22.45,23.79,21.84,23.12,23.82,24.40,24.13,24.53,23.79,23.99,23.96,23.32,23.42,NaN
2010,7,24.40,23.32,21.67,23.09,23.96,23.62,23.45,22.82,22.92,23.82,23.49,24.06,23.41,22.45,22.14,22.92,22.18,23.09,24.16,24.47,23.55,22.75,22.42,23.19,23.35,22.35,23.51,23.58,22.62,22.21,23.28
2010,8,23.25,23.12,23.89,22.25,22.65,23.69,23.62,23.28,23.68,23.12,23.32,24.02,23.55,23.14,23.32,22.62,22.18,22.65,23.31,22.78,22.72,NaN,23.12,22.61,23.22,22.98,23.41,22.57,22.70,22.70,23.51
2010,9,22.86,22.88,23.45,22.72,23.08,23.52,22.04,22.11,23.36,22.85,23.22,22.45,22.95,22.85,23.02,23.12,23.25,22.01,22.69,22.04,22.21,22.14,22.78,22.11,23.89,22.41,22.79,21.60,22.31,24.63,NaN
2010,10,22.79,23.92,22.35,21.80,22.25,23.02,23.02,23.96,22.84,23.79,22.62,22.92,23.82,22.13,21.97,21.77,21.91,21.43,21.91,22.38,23.38,22.78,21.74,21.40,22.52,22.21,22.45,22.28,21.60,21.94,22.58
2010,11,21.91,22.41,23.01,22.22,20.93,20.50,20.46,20.26,20.37,21.62,22.09,19.89,21.18,19.92,20.46,19.09,20.94,19.95,21.31,21.41,21.14,18.80,19.51,18.46,19.17,20.70,20.94,19.34,20.49,20.17,NaN
2010,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.63,20.58,20.78,20.95,20.89,19.91,19.91,20.28,20.72,20.59,21.19,21.46,20.11,20.31,19.84,20.78,20.78,20.38,19.97,19.94,20.51,20.99,21.94
2011,1,21.91,22.75,21.26,20.82,21.33,19.62,21.06,20.06,20.52,22.25,21.26,22.31,21.19,21.91,21.74,21.91,21.80,21.50,21.29,20.49,20.25,20.99,18.94,18.46,20.38,19.65,20.80,20.79,21.84,19.04,17.96
2011,2,21.52,21.09,21.50,21.36,21.74,19.58,19.82,20.52,21.19,20.97,20.80,19.82,21.75,20.80,21.58,21.58,21.35,22.19,21.01,21.11,20.07,20.20,19.77,20.06,21.08,22.67,22.90,22.80,NaN,NaN,NaN
2011,3,22.57,20.87,20.40,20.90,19.36,19.58,19.38,20.69,21.26,20.55,19.31,19.58,20.11,19.78,20.11,19.11,NaN,NaN,21.22,21.15,19.79,20.98,21.63,21.60,21.50,21.67,22.38,22.56,22.93,22.52,22.80
2011,4,21.74,20.34,21.09,21.47,22.63,22.39,21.98,21.67,22.43,22.63,21.84,22.08,20.34,19.52,20.68,22.25,22.46,20.95,21.43,20.51,21.91,22.52,22.08,22.76,21.78,21.44,23.86,23.07,22.60,22.05,NaN
2011,5,20.55,22.29,21.34,23.42,23.04,23.25,22.36,23.52,23.55,23.35,22.84,22.87,22.84,22.70,22.53,23.42,20.28,21.23,21.17,22.16,23.08,23.42,22.02,23.49,22.16,22.33,22.85,23.91,22.85,23.26,23.60
2011,6,24.11,23.80,22.37,23.43,23.05,22.51,22.27,24.05,24.46,23.84,23.26,23.70,23.88,22.99,24.05,22.92,22.51,22.65,22.75,23.57,NaN,23.47,23.12,22.85,22.58,23.06,22.68,23.64,23.74,23.29,NaN
2011,7,22.75,21.89,21.48,22.58,23.09,22.68,23.09,22.88,23.23,23.26,23.67,22.06,22.65,22.34,22.54,22.51,23.57,23.12,21.52,22.41,23.70,23.57,23.43,21.72,23.02,22.00,22.47,22.54,23.12,21.93,22.41
2011,8,22.51,22.47,22.30,22.65,22.78,23.23,22.82,23.29,22.61,24.29,22.44,22.03,22.37,21.83,22.34,21.72,22.10,22.61,22.58,23.09,22.17,22.78,22.58,22.68,22.17,22.47,22.88,22.75,22.41,23.09,22.82
2011,9,23.23,21.25,22.34,22.34,22.06,21.93,22.85,23.64,22.17,23.57,22.48,22.61,23.12,22.41,22.24,21.83,22.58,22.20,22.82,21.79,21.76,22.47,22.24,23.70,23.50,23.23,21.73,22.95,22.99,23.02,NaN
2011,10,22.48,22.55,23.12,22.78,21.79,22.20,22.34,23.53,22.13,22.71,21.15,21.49,21.38,21.76,21.21,19.99,20.60,21.93,21.66,22.10,21.11,21.42,19.95,21.21,21.08,21.38,20.39,21.93,22.51,21.52,20.83
2011,11,20.97,21.45,21.76,21.25,20.98,22.88,20.60,20.25,21.39,20.36,21.28,21.42,21.11,20.60,20.63,23.43,21.72,21.22,20.57,21.22,21.90,20.94,20.90,21.93,22.51,22.06,22.85,23.02,18.86,19.99,NaN
2011,12,20.16,19.75,20.16,20.43,21.55,20.67,21.05,21.97,21.80,20.67,23.09,20.84,20.49,20.39,20.01,20.29,19.78,14.35,18.72,17.29,19.78,19.92,19.33,20.46,19.51,19.24,20.02,19.65,19.92,20.23,18.72
2012,1,20.30,20.88,19.92,18.93,NaN,15.41,NaN,20.91,19.68,19.27,19.89,20.16,20.57,19.85,21.46,21.66,20.33,19.48,19.75,18.93,18.45,18.59,19.68,20.16,20.57,20.71,21.19,18.90,19.41,21.12,20.64
2012,2,19.44,20.43,20.64,20.30,21.43,21.84,21.66,22.76,21.94,19.82,20.13,21.39,19.75,20.30,18.86,20.16,20.37,18.73,20.09,21.39,18.73,21.32,20.50,19.85,20.74,22.90,20.67,19.75,20.98,NaN,NaN
2012,3,19.96,18.19,19.82,21.39,23.72,21.80,20.78,21.39,20.57,21.66,21.39,21.66,21.94,21.94,21.39,22.11,22.01,22.04,19.85,19.58,22.49,22.21,21.32,21.66,20.78,20.02,20.02,22.18,21.08,22.42,21.60
2012,4,21.39,23.85,23.65,23.10,23.17,23.65,22.49,23.51,20.47,21.12,22.55,20.84,19.48,20.85,21.19,21.43,23.31,23.37,22.01,22.49,23.17,22.69,23.10,21.39,21.36,22.21,24.40,22.76,21.87,21.94,NaN
2012,5,22.49,23.44,23.03,23.10,21.94,22.49,22.14,22.21,22.45,22.69,23.14,22.90,23.11,23.92,23.65,23.92,22.80,23.41,22.69,23.92,23.04,23.04,23.38,24.23,23.10,22.90,21.54,23.69,24.54,24.13,22.49
2012,6,23.31,24.54,23.37,23.65,24.03,23.31,23.38,23.93,24.06,22.01,23.17,23.03,21.63,21.60,23.31,22.90,22.42,22.76,23.17,24.33,23.79,22.56,21.67,23.65,22.46,24.16,22.80,22.49,21.64,22.49,NaN
2012,7,22.21,22.83,23.10,21.12,23.03,21.32,22.83,23.03,23.65,23.61,22.49,22.76,23.99,20.84,23.03,23.03,23.17,22.90,22.62,22.55,23.34,23.27,23.75,23.78,22.76,23.37,23.95,23.61,22.18,21.66,21.53
2012,8,21.80,23.37,22.14,21.39,22.49,21.87,22.49,22.76,22.62,23.51,22.49,23.95,22.52,22.49,22.04,22.76,23.58,22.49,22.49,22.49,23.38,NaN,23.37,22.15,22.76,22.63,22.73,22.97,22.90,23.27,23.27
2012,9,22.45,23.04,22.14,22.28,22.08,23.89,22.55,23.51,22.76,23.13,21.26,22.45,22.14,22.18,22.49,24.19,22.90,21.77,21.32,22.07,21.94,21.08,23.51,22.90,21.80,22.38,22.55,23.00,22.28,22.21,NaN
2012,10,22.62,23.07,22.55,22.14,22.14,20.43,21.39,22.45,22.76,22.93,23.03,22.52,21.90,22.35,22.21,21.60,21.05,22.49,23.03,22.76,23.37,22.76,23.65,22.72,22.49,21.05,23.51,22.21,21.87,20.81,22.90
2012,11,NaN,22.01,21.60,22.76,21.66,21.66,23.00,22.59,22.62,21.70,21.87,22.18,22.96,23.37,22.14,21.08,22.69,22.35,21.05,22.07,22.42,21.87,22.07,21.32,20.78,21.32,21.87,23.85,22.52,22.72,NaN
2012,12,20.78,21.80,21.60,20.50,22.49,21.32,22.72,22.21,20.37,22.42,23.03,23.31,22.14,20.02,21.36,20.84,20.78,20.37,20.02,21.05,22.35,21.87,21.12,21.63,22.52,21.66,23.31,22.72,23.78,22.07,21.66
2013,1,22.14,21.12,22.14,20.16,21.39,20.20,20.58,21.05,21.02,22.69,21.13,21.67,20.10,21.05,19.38,20.44,21.33,22.15,21.12,21.66,19.52,21.05,21.33,19.97,22.01,21.33,20.51,19.35,21.53,21.47,22.21
2013,2,21.02,19.08,20.17,20.31,19.56,19.62,19.66,19.38,19.90,20.41,18.60,19.69,20.78,21.54,19.21,21.80,21.88,20.78,20.44,19.97,20.58,20.72,22.08,22.80,22.22,20.72,22.66,21.60,NaN,NaN,NaN
2013,3,22.28,22.08,19.76,19.28,19.14,22.07,22.55,22.83,22.28,22.42,22.42,23.17,22.42,21.60,21.33,18.50,21.81,21.64,22.49,22.29,21.88,21.61,22.22,23.04,22.36,22.70,22.08,21.64,21.71,19.97,22.73
2013,4,23.31,23.69,23.28,21.16,23.31,21.81,22.15,20.72,22.73,22.97,21.85,22.97,22.87,23.28,21.95,24.14,24.55,23.25,22.63,22.70,23.25,21.61,20.51,20.79,22.43,22.63,NaN,20.79,21.26,22.97,NaN
2013,5,21.68,23.08,23.59,23.83,NaN,21.88,NaN,NaN,NaN,22.97,23.31,23.38,23.25,22.97,21.95,21.06,23.04,22.35,22.97,23.73,23.18,23.83,22.97,23.21,23.45,22.63,23.45,23.58,23.93,23.59,22.15
2013,6,23.48,22.70,22.56,23.79,22.67,24.34,22.22,23.59,21.60,23.17,20.99,24.06,23.11,22.63,23.52,22.08,23.38,24.61,23.04,24.06,22.90,22.63,22.36,22.15,22.90,21.88,23.85,23.17,22.97,22.90,NaN
2013,7,23.17,22.56,22.19,22.80,22.43,22.53,22.70,22.90,22.32,23.44,23.65,22.69,22.63,22.08,23.04,22.90,22.97,23.45,23.65,23.17,23.04,23.24,22.52,23.03,23.72,22.56,22.63,22.62,23.48,22.15,22.76
2013,8,23.51,22.35,23.17,23.24,22.15,23.51,22.29,22.15,22.43,22.90,22.08,22.08,23.79,23.31,22.91,23.18,23.49,23.55,22.36,22.63,23.18,23.18,23.18,22.91,23.25,21.81,23.66,22.77,22.15,22.29,21.81
2013,9,22.08,22.05,22.43,22.09,22.63,22.84,23.52,22.09,23.86,22.94,22.60,22.77,21.98,23.45,23.15,23.38,23.52,23.45,24.03,24.00,23.18,24.27,23.69,23.73,24.14,21.37,20.99,22.39,22.12,22.09,NaN
2013,10,22.09,22.36,23.38,23.18,22.63,22.12,22.87,23.73,23.18,23.18,23.52,21.44,22.63,20.99,22.36,23.45,22.56,23.25,22.12,22.36,23.59,23.18,22.63,23.18,22.97,22.77,23.83,24.07,23.18,22.63,23.45
2013,11,21.81,21.50,22.15,21.37,21.06,21.91,22.63,22.50,22.15,22.97,22.36,22.97,22.84,21.74,23.45,23.73,22.97,23.76,21.61,20.99,21.54,21.95,22.39,22.22,22.36,21.54,22.50,22.84,21.54,22.02,NaN
2013,12,22.09,20.07,20.41,20.92,20.31,22.36,22.26,22.32,20.99,19.83,21.16,22.50,22.15,21.47,21.64,22.02,21.74,21.60,21.13,21.71,20.96,21.64,21.33,20.44,19.49,20.17,19.08,20.03,21.47,22.63,21.54
2014,1,21.81,22.15,20.85,20.21,22.49,22.63,21.67,20.07,21.57,22.26,21.20,22.02,21.40,22.22,19.97,21.20,21.54,20.51,22.22,22.77,22.36,21.26,20.72,19.49,20.10,19.15,19.90,20.44,22.08,21.95,20.38
2014,2,17.69,19.56,22.02,20.14,21.68,19.28,19.56,21.20,21.26,21.61,22.15,22.15,21.85,22.12,22.29,21.81,20.99,20.65,19.35,18.68,19.49,20.51,21.44,20.41,20.79,19.90,NaN,22.87,NaN,NaN,NaN
2014,3,21.85,20.41,21.54,19.90,20.58,NaN,21.95,NaN,20.68,21.54,20.51,20.44,20.41,21.57,21.06,19.97,20.17,22.32,21.91,21.40,21.37,19.73,21.74,22.05,21.54,20.17,22.05,20.85,21.23,22.12,20.75
2014,4,20.27,20.68,21.98,22.39,22.67,22.74,21.78,23.90,23.25,22.56,23.21,21.88,20.72,22.60,22.67,22.87,22.94,22.22,21.74,22.67,23.28,23.15,21.64,22.91,22.74,23.21,23.38,23.49,24.34,23.42,NaN
2014,5,24.03,23.69,22.56,21.57,23.66,22.02,23.93,23.01,22.84,24.38,23.25,22.60,22.94,22.84,22.56,23.52,23.15,22.56,23.45,22.53,22.15,22.77,24.07,23.79,23.59,24.31,24.00,23.90,23.18,23.01,23.25
2014,6,23.83,23.93,24.48,23.42,24.00,23.04,23.83,23.42,23.15,23.45,24.07,23.86,24.75,23.86,22.67,24.10,23.04,22.94,24.10,23.25,23.97,24.34,24.10,22.70,22.80,22.80,23.73,23.01,22.87,24.07,NaN
2014,7,24.14,22.39,23.04,23.86,21.44,23.08,23.01,23.59,24.34,23.69,23.69,22.53,22.77,23.86,24.03,24.34,24.55,24.10,22.63,23.59,23.56,24.17,23.59,23.69,24.00,24.34,23.45,23.32,23.79,23.49,23.56
2014,8,23.11,23.35,23.59,22.36,22.60,22.94,22.46,23.83,22.80,22.74,23.62,23.56,22.84,22.63,22.12,22.50,23.83,23.42,22.70,21.64,22.29,23.04,22.60,22.53,21.61,21.95,22.70,23.18,22.15,21.61,22.90
2014,9,23.42,24.10,22.70,21.91,23.14,22.70,21.95,22.05,21.26,22.63,23.01,23.25,22.67,23.62,22.70,23.82,22.94,21.91,22.73,22.56,23.18,22.60,21.91,23.08,23.76,22.39,22.05,24.10,23.45,22.94,NaN
2014,10,22.97,23.79,21.71,21.30,21.98,21.06,22.77,22.36,22.90,22.39,23.07,23.17,22.97,23.18,23.04,22.94,24.27,22.94,22.67,22.49,23.01,23.11,23.45,24.41,24.00,23.04,21.57,23.21,23.01,23.08,21.91
2014,11,21.95,23.18,23.25,23.07,23.55,23.59,22.80,22.22,22.84,22.73,19.62,22.32,20.96,23.28,23.11,21.68,23.59,23.38,23.45,22.53,23.31,21.30,21.54,21.64,22.67,23.55,23.01,22.73,22.70,21.30,NaN
2014,12,23.01,23.31,22.63,22.56,23.35,23.34,22.80,20.82,21.53,21.33,21.91,22.32,21.50,20.65,21.54,23.24,21.81,22.49,20.79,21.33,22.08,20.03,22.02,21.37,21.74,22.53,21.71,21.57,21.71,22.67,22.53
2015,1,22.73,21.95,21.98,23.18,23.42,22.70,21.64,21.37,21.13,21.84,22.19,22.39,23.52,22.66,21.09,21.78,21.23,21.98,21.91,22.26,20.58,20.10,21.71,21.95,20.44,19.69,20.31,21.67,21.78,21.13,19.22
2015,2,20.51,20.89,21.88,21.78,21.91,22.50,21.09,21.54,21.09,20.04,19.73,21.98,22.53,21.06,21.06,22.22,19.43,20.38,21.09,21.61,22.22,20.62,21.68,20.51,18.61,20.66,20.21,22.09,NaN,NaN,NaN
2015,3,21.88,20.75,19.36,19.66,20.14,21.30,21.16,21.37,20.55,21.68,23.04,23.28,22.12,21.40,21.95,22.26,19.93,18.51,19.84,NaN,20.82,19.94,20.92,20.98,20.78,20.11,19.67,21.08,22.26,21.48,22.06
2015,4,19.98,20.25,21.04,19.36,21.35,21.65,20.25,21.76,22.03,22.54,22.50,22.64,22.60,22.71,23.37,22.57,22.67,22.16,22.74,23.41,22.06,22.67,23.07,21.92,23.04,21.31,22.50,24.89,23.85,24.29,NaN
2015,5,22.23,22.57,22.93,22.60,23.11,22.20,22.67,23.27,23.47,23.24,22.26,23.07,23.84,23.58,23.14,22.93,20.97,22.81,23.14,23.27,22.97,23.44,22.40,23.50,22.70,23.00,23.00,20.70,20.20,22.40,23.10
2015,6,22.90,24.10,24.50,23.00,23.20,23.60,23.48,22.77,23.71,22.09,22.13,23.10,22.57,23.51,23.88,24.18,24.39,23.98,23.95,24.59,22.86,22.60,23.10,23.68,25.50,24.08,24.65,24.11,23.37,23.88,NaN
2015,7,22.80,22.74,23.21,23.85,23.78,24.89,21.99,22.30,22.67,22.50,22.64,22.74,22.37,22.97,22.97,22.09,23.50,22.90,23.00,23.20,19.60,22.50,22.90,22.80,22.90,23.30,23.40,23.20,23.10,23.70,21.60
2015,8,21.40,22.70,23.20,23.40,23.30,24.20,23.50,23.70,23.80,23.60,23.50,23.30,22.40,21.60,22.50,23.70,21.60,23.10,24.20,22.90,23.30,23.10,23.50,23.90,21.90,22.00,23.10,21.80,22.80,23.10,23.20
2015,9,23.40,22.00,21.70,21.70,23.40,22.90,21.50,22.80,22.40,21.80,22.20,21.70,23.00,22.90,23.10,23.60,21.30,22.90,23.70,23.90,23.20,22.40,23.10,22.30,22.40,22.60,24.50,23.00,22.80,23.50,NaN
2015,10,22.20,23.40,20.70,22.00,22.80,22.90,22.50,23.10,23.10,23.20,22.10,22.70,22.40,23.40,23.10,23.20,23.10,23.90,22.70,22.80,23.10,22.70,22.80,23.00,22.30,22.10,22.60,22.10,22.00,22.60,22.60
2015,11,21.80,22.20,22.20,22.50,23.50,22.10,22.20,23.10,21.30,22.90,22.80,22.80,22.20,23.10,23.70,24.00,22.50,22.80,22.60,22.60,22.80,23.80,23.30,21.30,21.90,22.20,22.70,21.90,21.70,21.80,NaN
2015,12,21.90,22.20,22.10,22.90,23.10,23.00,22.80,22.00,23.10,22.30,23.70,22.50,23.10,21.50,21.80,21.20,22.10,23.40,22.00,22.80,23.50,23.30,23.40,23.70,23.80,23.10,23.40,23.20,23.70,23.20,22.30
2016,1,23.40,21.50,21.50,21.80,22.10,22.60,22.10,22.30,21.60,21.50,20.10,19.60,19.60,20.80,22.20,22.00,20.20,20.40,21.60,19.10,20.50,19.50,20.10,20.00,20.10,21.90,21.60,22.60,20.40,21.30,21.70
