Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.10,0.10,0.00,9.40,0.00,0.00,0.00,NaN,NaN,NaN
2010,3,20.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.30,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,13.30,4.90,4.20,0.00,2.00,0.00,1.50,0.00,0.60,2.50,13.30,0.00,34.60,16.80,5.20,41.20,NaN
2010,5,1.50,NaN,12.30,4.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.70,0.60,5.00,27.70,2.10,0.40,8.00,33.60,32.80,1.50,16.50,4.40,0.80,0.00,0.00,0.00
2010,6,1.50,2.30,18.90,0.00,0.00,2.70,0.00,6.00,14.20,14.60,5.20,28.30,2.90,8.80,17.90,18.10,0.00,18.40,0.80,30.50,2.00,2.40,0.00,1.20,11.70,10.00,2.80,0.60,15.50,2.80,NaN
2010,7,0.00,8.80,0.40,2.00,0.60,34.10,3.60,6.10,13.00,36.40,19.70,0.20,22.20,0.00,0.20,3.30,1.80,0.90,1.40,52.20,5.30,36.00,1.20,1.90,10.40,2.80,6.10,2.20,5.00,6.20,1.30
2010,8,7.20,0.30,0.00,0.00,23.90,7.40,17.20,14.90,2.10,3.00,2.20,4.00,0.10,0.60,9.00,0.00,3.40,0.10,5.60,18.50,0.80,3.30,10.00,32.20,15.10,25.70,23.30,27.30,13.80,0.00,10.70
2010,9,19.40,3.10,11.80,5.00,3.00,3.10,33.10,49.50,0.10,0.40,20.20,21.20,34.00,9.90,0.00,15.40,5.10,52.60,1.20,41.00,20.20,19.50,11.10,4.20,5.40,9.70,3.40,90.20,71.90,12.60,NaN
2010,10,2.40,39.50,45.80,0.90,0.30,1.30,0.00,0.00,0.00,0.00,5.70,5.90,0.00,0.00,1.10,0.60,2.00,0.10,0.00,8.20,26.50,6.00,7.70,24.20,6.80,0.70,0.00,0.00,0.10,NaN,3.80
2010,11,11.80,24.60,142.30,14.80,50.00,0.00,0.00,0.00,0.00,4.60,0.10,0.00,0.00,0.00,0.00,0.00,0.60,0.00,2.70,0.60,3.50,1.50,0.30,0.60,3.50,2.20,0.00,0.00,0.00,3.80,NaN
2010,12,50.20,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,4.30,0.10
2011,1,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2011,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.40,0.00,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,3.80,NaN,NaN,NaN
2011,3,8.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00
