Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,1.6,0.0,0.0,NaN,NaN,NaN
2010,3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,6.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,4,0.0,0.0,0.0,0.0,0.0,3.4,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,15.3,8.1,3.6,0.0,6.7,0.1,0.0,0.0,0.2,2.1,2.7,5.6,22.2,10.6,15.0,55.9,NaN
2010,5,0.0,3.8,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.4,18.5,0.3,1.9,1.0,1.4,38.2,24.8,0.9,12.8,3.2,0.0,0.0,0.0,0.1
2010,6,1.5,20.5,16.2,0.0,0.0,6.1,0.2,3.2,3.7,2.7,3.4,14.0,1.7,16.3,17.1,4.2,0.0,25.2,5.7,20.0,1.8,0.8,0.0,0.7,9.8,11.2,0.8,0.9,0.8,0.0,NaN
2010,7,0.5,20.3,0.1,1.9,0.7,29.9,4.6,0.2,0.0,29.0,17.9,0.7,15.2,0.1,1.1,1.6,0.2,2.4,1.6,44.4,16.2,24.7,10.4,0.0,49.7,2.7,0.8,0.0,7.3,0.6,0.3
2010,8,6.8,0.5,0.0,1.9,25.7,7.8,8.9,24.2,6.6,9.0,3.9,19.5,1.8,0.5,10.5,0.0,1.4,0.1,2.2,76.9,1.0,6.5,3.0,26.9,17.0,22.4,2.3,15.7,37.5,0.1,33.2
2010,9,12.9,1.5,6.9,7.9,3.3,2.8,8.3,1.3,2.2,6.5,15.5,21.3,12.8,4.6,0.0,31.5,3.4,8.5,3.7,31.0,20.2,35.2,3.4,2.2,3.0,7.1,20.4,60.3,30.2,9.6,NaN
2010,10,1.3,42.6,40.3,0.4,0.0,4.9,0.0,0.3,0.0,0.0,28.4,4.0,0.2,0.0,6.3,0.0,0.0,0.0,0.0,7.0,33.0,4.4,11.9,72.0,3.4,7.9,0.1,0.0,0.0,0.0,13.6
2010,11,11.1,16.4,139.2,15.6,36.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.2,0.4,8.1,0.5,1.7,6.2,2.7,0.1,0.0,0.1,0.1,4.0,NaN
2010,12,32.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.0,0.0
2011,1,0.0,0.3,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.8,0.0,0.0,0.1,1.5,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.2,0.0,0.7,NaN,NaN,NaN
2011,3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,NaN,NaN,NaN
2011,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,2.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14.8,3.1,12.5,9.7
2011,8,20.0,9.5,0.0,3.1,5.3,0.0,15.1,0.0,0.0,0.0,0.0,0.6,10.8,8.1,19.3,16.3,7.3,32.3,28.6,0.4,7.1,0.5,0.5,6.4,2.7,1.1,0.0,1.9,0.0,1.9,0.0
2011,9,0.0,8.7,2.0,9.3,7.4,3.4,8.8,1.4,0.3,0.1,0.0,0.8,6.8,0.3,17.8,23.2,4.3,11.7,1.1,8.8,0.0,0.0,2.7,0.0,28.8,0.3,2.0,23.7,4.0,2.4,NaN
2011,10,18.8,22.0,4.6,7.3,19.6,0.1,8.9,9.4,14.6,24.5,33.6,31.3,15.8,80.5,8.8,6.9,10.5,11.4,0.7,7.7,7.5,12.9,5.2,0.1,0.0,1.6,29.8,10.6,0.0,0.8,20.3
2011,11,11.7,0.8,0.0,0.0,0.0,0.0,0.7,0.0,0.0,11.9,0.0,10.5,15.1,0.0,6.1,8.9,0.0,0.0,1.0,0.0,1.3,0.0,0.9,6.3,4.8,12.1,0.4,0.0,0.0,0.0,NaN
2011,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,18.6,16.2,0.3,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,2,0.0,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
2012,3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2012,4,0.0,6.2,3.0,0.0,2.8,1.6,9.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,11.3,12.8,0.0,0.0,0.9,2.0,22.3,0.0,0.0,0.0,0.0,1.3,0.0,3.8,0.2,NaN
2012,5,27.9,0.0,0.0,6.1,41.8,26.8,0.0,14.3,0.0,6.4,0.0,0.0,0.4,29.2,23.8,0.5,1.0,0.0,5.9,2.9,10.4,7.6,0.0,1.5,10.8,1.3,0.9,27.3,3.5,29.6,9.3
