Año,Mes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2010,1,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.70,1.60,0.00,0.00,NaN,NaN,NaN
2010,3,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,6.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2010,4,0.00,0.00,0.00,0.00,0.00,3.40,0.00,6.80,0.00,0.00,0.00,0.00,0.00,0.00,15.30,8.10,3.60,0.00,6.70,0.10,0.00,0.00,0.20,2.10,2.70,5.60,22.20,10.60,15.00,55.90,NaN
2010,5,0.00,3.80,0.00,0.00,9.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.80,0.40,18.50,0.30,1.90,1.00,1.40,38.20,24.80,0.90,12.80,3.20,0.00,0.00,0.00,0.10
2010,6,1.50,20.50,16.20,0.00,0.00,6.10,0.20,3.20,3.70,2.70,3.40,14.00,1.70,16.30,17.10,4.20,0.00,25.20,5.70,20.00,1.80,0.80,0.00,0.70,9.80,11.20,0.80,0.90,0.80,0.00,NaN
2010,7,0.50,20.30,0.10,1.90,0.70,29.90,4.60,0.20,0.00,29.00,17.90,0.70,15.20,0.10,1.10,1.60,0.20,2.40,1.60,44.40,16.20,24.70,10.40,0.00,49.70,2.70,0.80,0.00,7.30,0.60,0.30
2010,8,6.80,0.50,0.00,1.90,25.70,7.80,8.90,24.20,6.60,9.00,3.90,19.50,1.80,0.50,10.50,0.00,1.40,0.10,2.20,76.90,1.00,6.50,3.00,26.90,17.00,22.40,2.30,15.70,37.50,0.10,33.20
2010,9,12.90,1.50,6.90,7.90,3.30,2.80,8.30,1.30,2.20,6.50,15.50,21.30,12.80,4.60,0.00,31.50,3.40,8.50,3.70,31.00,20.20,35.20,3.40,2.20,3.00,7.10,20.40,60.30,30.20,9.60,NaN
2010,10,1.30,42.60,40.30,0.40,0.00,4.90,0.00,0.30,0.00,0.00,28.40,4.00,0.20,0.00,6.30,0.00,0.00,0.00,0.00,7.00,33.00,4.40,11.90,72.00,3.40,7.90,0.10,0.00,0.00,0.00,13.60
2010,11,11.10,16.40,139.20,15.60,36.60,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.20,0.40,8.10,0.50,1.70,6.20,2.70,0.10,0.00,0.10,0.10,4.00,NaN
2010,12,32.70,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,2.00,0.00
2011,1,0.00,0.30,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2011,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.80,0.00,0.00,0.10,1.50,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,5.20,0.00,0.70,NaN,NaN,NaN
2011,3,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,0.00,NaN,NaN,NaN
